"RECYEAR","avg.LIVEGRASS"
1991,54.6875
1991,43.4775
1991,54.2225
1991,52.8525
1991,33.7725
1991,42.58
1991,81.64
1991,63.1025
1991,52.9775
1991,69.7325
1991,54.855
1991,46.585
1992,42
1992,46.7833333333333
1992,35.8
1992,52.5
1992,42.7166666666667
1992,49.8833333333333
1992,83.2166666666667
1992,51.8666666666667
1992,62.3666666666667
1992,66.7
1992,43.35
1992,57.3833333333333
1993,35.3166666666667
1993,34.2283333333333
1993,30.0066666666667
1993,48.2933333333333
1993,35.0783333333333
1993,59.76
1993,64.1033333333333
1993,57.1816666666667
1993,53.5516666666667
1993,44.2783333333333
1993,37.4133333333333
1993,40.6633333333333
1993,49.5
1993,34.3866666666667
1993,39.4966666666667
1993,54.6933333333333
1993,56.3733333333333
1993,37.5966666666667
1993,31.7616666666667
1993,46.8233333333333
1993,27.75
1993,39.79
1993,60.5266666666667
1993,42.9583333333333
1993,53.005
1993,41.7033333333333
1993,35.495
1993,54.9416666666667
1993,44.2783333333333
1993,48.3366666666667
1994,41.2166666666667
1994,50.8366666666667
1994,35.4966666666667
1994,42.4383333333333
1994,28.4166666666667
1994,46.9966666666667
1994,78.1366666666667
1994,62.3166666666667
1994,58.2116666666667
1994,49.675
1994,43.6283333333333
1994,32.7533333333333
1994,44.1716666666667
1994,49.9983333333333
1994,44.5983333333333
1994,62.9083333333333
1994,66.7616666666667
1994,49.1266666666667
1994,51.655
1994,49.8833333333333
1994,27.9066666666667
1994,37.165
1994,53.6316666666667
1994,43.3533333333333
1994,42.2833333333333
1994,40.5683333333333
1994,39.435
1994,64.5783333333333
1994,43.0816666666667
1994,33.14
1995,48.2583333333333
1995,44.5766666666667
1995,38.5133333333333
1995,41.5616666666667
1995,27.405
1995,40.26
1995,78.9
1995,136.54
1995,44.4166666666667
1995,58.095
1995,39.0066666666667
1995,36.88
1995,33.63
1995,41.065
1995,32.4183333333333
1995,35.5933333333333
1995,60.3133333333333
1995,43.9916666666667
1995,34.2566666666667
1995,35.4916666666667
1995,41.4633333333333
1995,27.5716666666667
1995,90.3066666666667
1995,76.6433333333333
1995,31.1983333333333
1995,26.8866666666667
1995,35.9366666666667
1995,45.805
1995,41.8583333333333
1995,50.3883333333333
1996,37.1566666666667
