"lakeid","year4","tot.mass"
"L",1984,2.17039552174669
"L",1984,1.74340682349464
"L",1984,1.75326357816686
"L",1984,0.922778553048321
"L",1984,1.93345173722156
"L",1984,0.943953058999684
"L",1984,1.16282723282141
"L",1984,1.5312765285023
"L",1984,2.19107565218485
"L",1984,0.6472209117175
"L",1984,0.912231549530441
"L",1984,2.39651306341995
"L",1984,0.634192891149572
"L",1984,1.08930006754788
"L",1985,1.74273949389027
"L",1985,0.314160393260678
"L",1985,0.6191764217433
"L",1985,0.424527085007143
"L",1985,0.548135826505644
"L",1985,0.362223900897699
"L",1985,0.605756910854541
"L",1985,0.55046694727386
"L",1985,0.941736022532448
"L",1985,0.999924671257704
"L",1985,1.14979881868719
"L",1985,0.774324294940751
"L",1985,0.622029471585046
"L",1985,0.792159345127624
"L",1985,0.586781672154185
"L",1985,0.811175415155575
"L",1985,0.489970803744839
"L",1985,0.44922535154825
"L",1986,0.113818140166513
"L",1986,0.323634154277647
"L",1986,0.264989110292426
"L",1986,0.365228820469557
"L",1986,0.291643820328847
"L",1986,0.741161847938575
"L",1986,0.445228435297257
"L",1986,0.296638061954924
"L",1986,0.130767377148706
"L",1986,0.156136525600375
"L",1986,0.212286388200141
"L",1986,0.315414192035898
"L",1986,0.376211270163941
"L",1986,0.120538778730588
"L",1986,0.190704862588299
"L",1986,0.166782319880014
"L",1987,0.650473469777747
"L",1987,0.927544482193446
"L",1987,1.05586925220314
"L",1987,0.62537504910369
"L",1987,0.503948445294124
"L",1987,0.675937804912502
"L",1987,0.636872378322406
"L",1987,1.07459879997223
"L",1987,1.01447723859645
"L",1987,1.44511957587659
"L",1987,1.82163552022379
"L",1987,1.1324562685266
"L",1987,1.17823493749299
"L",1987,0.738536885436042
"L",1987,1.04396470032192
"L",1987,0.468540332715214
"L",1988,1.07300078436966
"L",1988,0.889192858621303
"L",1988,0.534583593040412
"L",1988,0.546502436888951
"L",1988,0.737981365575437
"L",1988,1.39769845499889
"L",1988,0.666802642581889
"L",1988,0.882721041914251
"L",1988,0.832568581198498
"L",1988,0.65611404579839
"L",1988,0.484471480402996
"L",1988,0.857044907389887
"L",1988,0.586892292042839
"L",1988,0.871800968026477
"L",1988,0.905269614920832
"L",1988,0.602206414130799
"L",1989,0.163759049477863
"L",1989,0.268457899206336
"L",1989,0.754710800704404
"L",1989,0.955007248664931
"L",1989,1.51727184976505
"L",1989,0.748030781171049
"L",1989,0.643991901134288
"L",1989,0.339780824154254
"L",1989,0.746267053126256
"L",1989,0.686393601450664
"L",1989,0.639744006265736
"L",1989,0.246718542761199
"L",1989,0.453305513251648
"L",1989,0.560402469572089
"L",1989,0.493854977556869
"L",1989,0.475874931245324
"L",1989,0.469730896823545
"L",1990,0.384394979389135
"L",1990,0.573943296716612
"L",1990,0.869215046612396
"L",1990,1.58883674870889
"L",1990,1.13829631137998
"L",1990,2.13120988254893
"L",1990,0.973685456049083
"L",1990,0.607344758476147
"L",1990,0.861726237106914
"L",1990,0.861085775477169
"L",1990,0.799818052509765
"L",1990,1.27407804681714
"L",1990,1.13550855406366
"L",1990,0.952196077705183
"L",1990,0.603397597706139
"L",1990,0.952838678038275
"L",1990,0.513086190442976
"L",1990,0.442096593641515
"L",1991,0.208511273288426
"L",1991,0.597314454039651
"L",1991,0.50085830705603
"L",1991,0.559289696958745
"L",1991,0.697934921117434
"L",1991,0.698259708247605
"L",1991,0.462135417082061
"L",1991,0.204746114310431
"L",1991,0.310058950440768
"L",1991,0.244283763521728
"L",1991,0.366257002157796
"L",1991,0.538434281342994
"L",1991,0.406463860171698
"L",1991,0.497043622071977
"L",1991,0.589325969898369
"L",1991,0.610177067008679
"L",1992,0.370545653800286
"L",1992,0.537438601722234
"L",1992,1.23904052920462
"L",1992,0.9240647859713
"L",1992,1.57076021086471
"L",1992,1.26284760112345
"L",1992,0.723582139864995
"L",1992,1.74752388233271
"L",1992,1.21483050920521
"L",1992,1.59221281969031
"L",1992,0.879178705333469
"L",1992,0.985092018789719
"L",1992,1.10489801171692
"L",1992,0.804156662592907
"L",1992,0.6150518480075
"L",1992,0.741901482070629
"L",1992,1.07086981931641
"L",1993,0.381388425752942
"L",1993,0.410817763803694
"L",1993,0.200683821329099
"L",1993,0.286544412903354
"L",1993,0.222902029602215
"L",1993,0.707456187619903
"L",1993,0.461364066531115
"L",1993,0.455351580291301
"L",1993,0.514307514580938
"L",1993,0.57103816704341
"L",1993,0.336986425142239
"L",1993,0.377931214262276
"L",1993,0.564448252152635
"L",1993,0.300235563952184
"L",1993,0.453562485398738
"L",1993,0.941855206571753
"L",1993,0.607534479635321
"L",1994,1.83247662748411
"L",1994,1.03184312416957
"L",1994,1.14658745414052
"L",1994,0.564652556340542
"L",1994,0.995100878990778
"L",1994,1.28744436453204
"L",1994,1.96686575868006
"L",1994,1.14209529196656
"L",1994,1.4632481762875
"L",1994,0.769667527569138
"L",1994,1.59298190703335
"L",1994,1.27181405585341
"L",1994,0.798541202869872
"L",1994,1.08821858649542
"L",1994,1.05356109607242
"L",1994,0.885925552102012
"L",1994,0.98123445207736
"L",1995,NA
"L",1995,0.501232437445348
"L",1995,0.585122459476144
"L",1995,0.960789439392896
"L",1995,0.648969756013364
"L",1995,0.688758439668216
"L",1995,1.35286778713006
"L",1995,1.84080275246809
"L",1995,0.629315079565822
"L",1995,0.611468095418412
"L",1995,0.748198846287073
"L",1995,1.12453058748092
"L",1995,0.692156875001171
"L",1995,0.734266514745345
"L",1995,0.762000089609493
"L",1995,0.546427238093456
"L",1996,NA
