"Year","biomass"
1999,0.388
1999,0.538333333333333
1999,0.638333333333333
1999,0.281111111111111
1999,2.232
1999,2.188
1999,0.6575
1999,1.09666666666667
1999,0.3325
1999,4.478
1999,1.11166666666667
1999,0.906666666666667
1999,1.96571428571429
1999,0.656
1999,1.96428571428571
1999,0.318333333333333
1999,0.0971428571428572
1999,0.415714285714286
1999,0
1999,3.86333333333333
2000,0.146
2000,0.4775
2000,0.032
2000,1.45666666666667
2000,2.18333333333333
2000,0.848333333333333
2000,0.2425
2000,1.43714285714286
2000,0.828333333333333
2000,0.458571428571429
2000,0.301666666666667
2000,0.0971428571428572
2000,0.752857142857143
2000,0.92
2000,0.414285714285714
2000,0.868333333333333
2000,1.68875
2000,2.455
2000,1.08428571428571
2000,0.598
2000,0
2000,0
2000,0.17
2000,0.0466666666666667
2000,0.125
2000,0.324285714285714
2000,0.541428571428571
2000,0.0266666666666667
2000,0.0175
2000,0.161666666666667
2000,0.4425
2000,0
2000,0.79875
2000,1.61857142857143
2000,3.31666666666667
2000,0
2000,0.138571428571429
2000,0.0583333333333333
2000,0.347142857142857
2000,0
2001,0
2001,0
2001,0.136
2001,0
2001,0
2001,0
2001,0.15
2001,0
2001,0
2001,0
2001,0
2001,0.138571428571429
2001,1.902
2001,0
2001,0
2001,0
2001,0.15
2001,0
2001,0
2001,0
2001,0
2001,2.176
2001,0.226666666666667
2001,0
2001,0
2001,0
2001,0
2001,0
2001,0
2001,0
2001,0.486
2001,0
2001,0
2001,1.37333333333333
2001,0.4375
2001,0.1125
2001,0
2001,0
2001,0
2001,0
2002,1.2725
2002,1.69666666666667
2002,3.30666666666667
2002,1.39
2002,0
2002,0
2002,0
2002,0
2002,3.33
2002,1.415
2002,0
2002,0.848
2002,0
2002,0
2002,0
2002,0
2002,0
2002,4.895
2002,0
2002,0
2002,0
2002,0
2002,14
2002,0
2002,0
2002,0
2002,0
2002,0
2002,0
2002,0
2002,0.68
2002,4.12
2002,0
2003,0
2003,0
2003,0.855714285714286
2003,2.54333333333333
2003,4.03428571428571
2003,0.54
2003,3.19571428571429
2003,0.35
2003,0
2003,0.044
2003,5.9
2003,7.18285714285714
2003,7.38333333333333
2003,1.8125
2003,8.26923076923077
2003,1.83125
2003,6.63857142857143
2003,5.45714285714286
2003,10.9614285714286
2003,2.06
2003,1.88333333333333
2003,1.17833333333333
2003,2.96125
2003,3.69666666666667
2003,3.095
2003,1.28833333333333
2003,1.0375
2003,2.97571428571429
2003,5.37
2003,1.54285714285714
2003,5.14444444444444
2003,4.755
2003,3.35363636363636
2003,2.66
2003,1.69666666666667
2003,1.266
2003,3.059
2003,4.66909090909091
2003,3.81090909090909
2003,6.45
2004,2.07333333333333
2004,4.09375
2004,1.60818181818182
2004,6.04307692307692
2004,7.45545454545455
2004,3.340625
2004,5.3975
2004,6.80666666666667
2004,3.155
2004,1.25230769230769
2004,1.39555555555556
2004,6.66333333333333
2004,8.163
2004,1.24285714285714
2004,0.812857142857143
2004,4.9325
2004,3.63615384615385
2004,2.472
2004,4.7
2004,1.03625
2004,11.04
2004,2.2775
2004,3.89
2004,1.595
2004,3.56125
2004,1.414
2004,2.74666666666667
2004,2.17428571428571
2004,3.26916666666667
2004,6.64
2004,2.3775
2004,7.95333333333333
2004,8.805
2004,10.225
2004,1.7
2004,3.93666666666667
2004,2.75125
2004,5.16166666666667
2004,3.56230769230769
2004,0
2005,1.696
2005,0.4375
2005,0
2005,1.145
2005,1.635
2005,0.848
2005,2.356
2005,0.832
2005,1.01333333333333
2005,1.36571428571429
2005,7.528
2005,0.0533333333333333
2005,1.16333333333333
2005,2.186
2005,0.04
2005,0
2005,1.585
2005,3.425
2005,0.354
2005,0.15
2005,0
2005,0
2005,0
2005,0
2005,4.24
2005,0
2005,0.15
2005,0.727142857142857
2005,1.7725
2005,0.455
2005,0
2005,2.78
2005,0.321428571428571
2005,1.52833333333333
2005,3.77666666666667
2005,3.135
2005,0
2005,0
2005,0
2006,0
2006,0.032
2006,0
2006,0
2006,13.61
2006,0.2425
2006,0
2006,0.161666666666667
2006,0
2006,0
2006,0
2006,0
2006,1.585
2006,0
2006,0
2006,0
2006,0.2825
2006,0
2006,0
2006,0
2006,0
2006,0.848333333333333
2006,0.1125
2006,9.732
2006,0.44
2006,0
2006,0
2006,0
2006,0.35
2006,0
2006,0
2006,0.0116666666666667
2006,0.615714285714286
2006,0.25
2006,0
2006,0
2006,0.375
2006,0.862857142857143
2006,0
2006,0.056
2007,0.1125
2007,2.26166666666667
2007,0
2007,0
2007,0.55
2007,1.41166666666667
2007,2.926
2007,1.91
2007,1.282
2007,0.743333333333333
2007,0
2007,1.554
2007,0.8725
2007,0.178
2007,0
2007,2.995
2007,4.19
2007,0.0933333333333333
2007,0.485
2007,1.056
2007,0
2007,1.108
2007,1.125
2007,1.55
2007,0.4375
2007,0.1125
2007,0
2007,0
2007,0.032
2007,0.21
2007,2.32142857142857
2007,1.018
2007,0.35
2007,0.583333333333333
2007,0.435
2007,0.5625
2007,0.22
2007,1.132
2007,0.35
2007,0
2008,0.581666666666667
2008,0.0533333333333333
2008,0.4375
2008,0
2008,0
2008,0.1125
2008,4.12
2008,0.33
2008,0
2008,0.7075
2008,0
2008,0
2008,0
2008,0
2008,0
2008,0.15
2008,4.58333333333333
2008,0.136
2008,0.34
2008,0.0233333333333333
2008,0
2008,1.936
2008,0
2008,2.83
2008,0
2008,0.08
2008,0
2008,0.44
2008,0
2008,0.676666666666667
2008,0.485
2008,6.54166666666667
2008,0
2008,0
2008,1.74666666666667
2008,0
2008,0
2008,0
2008,0
2008,1.415
2009,0
2009,0
2009,0.055
2009,0.105
2009,0.31375
2009,0.518
2009,0.225
2009,1.2725
2009,0
2009,0
2009,0
2009,0
2009,0.0466666666666667
2009,0
2009,0.188571428571429
2009,0
2009,0.07
2009,0.226
2009,0
2009,0
2009,0
2009,0
2009,0
2009,0
2009,0.5075
2009,0
2009,0.695
2009,0
2009,0
2009,0
2009,0
2009,0.22
2009,0
2009,0
2009,0
2009,0
2009,0
2009,0
2010,0
2010,2.33
2010,0
2010,2.12
2010,0
2010,0
2010,0
2010,0
2010,1.745
2010,0
2010,0.2425
2010,4.12666666666667
2010,1.18166666666667
2010,0.75
2010,0
2010,0
2010,0
2010,0
2010,0
2010,0
2010,2.99142857142857
2010,0
2010,0.35
2010,0
2010,0.88
2010,0.15
2010,0.33
2010,0.032
2010,0
2010,0.7075
2010,0
2010,0
2010,0
2010,0
2010,0.28
2010,0
2011,0
2011,0
2011,0
2011,0.79125
2011,0
2011,0.28125
2011,0
2011,0.67
2011,0.327142857142857
2011,0
2011,0
2011,0.333333333333333
2011,0
2011,0
2011,0
2011,0
2011,0
2011,0
2011,0.72125
2011,1.27375
2011,0.893333333333333
2011,0.855
2011,0
2011,0
2011,1.6325
2011,0
2011,0
2012,0
2012,0
2012,1.555
2012,1.30857142857143
2012,0
2012,2.6325
2012,0
2012,0
2012,2.84
2012,0.902857142857143
2012,0.7175
2012,1.80375
2012,1.27875
2012,0.165
2012,1.55428571428571
2012,0
2012,1.36
2012,0
2012,3.924
2012,1.2725
2012,0.848333333333333
2012,0
2012,0.88625
2012,0
2012,0
2012,0.35375
2012,1.01285714285714
2012,1.005
2012,0
2013,1.14888888888889
2013,0
2013,0.07
2013,0.0228571428571429
2013,0.05625
2013,0
2013,0
2013,0
2013,0.902857142857143
2013,0
2013,2.49571428571429
2013,0
2013,4.54333333333333
2013,2.34857142857143
2013,0.2
2013,0.848333333333333
2013,2.414
2013,0
2013,0
2013,0
2013,0
2013,2.00125
2013,2.17285714285714
2013,0
2013,0
2013,1.546
2013,0
2014,0.085
2014,0.818888888888889
2014,0
2014,0.5
2014,0
2014,0.848333333333333
2014,1.3225
2014,0
2014,2.3775
2014,0
2014,0.848333333333333
2014,0
2014,0
2014,1.17714285714286
2014,0
2014,0.0642857142857143
2014,2.85333333333333
2014,0.3375
2014,0
2014,0.21875
2014,2.055
2014,0.85875
2014,0
2014,0.42375
2014,0.05625
2014,0
2014,0.704545454545455
2014,0.25
2015,0
2015,0.014
2015,0.161666666666667
2015,0
2015,1.20833333333333
2015,0
2015,1.148
2015,0
2015,0
2015,1.154
2015,0
2015,0.45
2015,0
2015,0
2015,0.35
2015,1.69666666666667
2015,0
2015,1.96
2015,0
2015,0
2015,0.113333333333333
2015,0.846666666666667
2015,1.06
2015,0.136
2015,0.04
2015,0.895
2015,1.35857142857143
2016,0
2016,0.76
2016,0
2016,0
2016,0
2016,0.8725
2016,0.791428571428571
2016,0
2016,0
2016,0
2016,0.21875
2016,0
2016,0
2016,0
2016,0
2016,0
2016,0
2016,0
2016,0.727142857142857
2016,0
2016,0.22
2016,0
2016,0
2016,0
2016,0
2016,0
2016,0
2017,0
2017,0
2017,0
2017,0
2017,0
2017,0
2017,0
2017,0
2017,0.09
2017,0
2017,0
2017,0
2017,4.905
2017,0
2017,0
2017,0
2017,0
2017,0
2017,0
2017,0
2017,0
2017,0
2017,0.00666666666666667
2017,0
2017,0
2017,0
2017,0.44
2017,0
2017,0
2018,0.01
2018,0.718
2018,0
2018,0
2018,0
2018,0
2018,0
2018,0
2018,0
2018,0
2018,0
2018,0.848333333333333
2018,0
2018,0.133333333333333
2018,0
2018,0
2018,0.583333333333333
2018,0.07
2018,0
2018,18.2866666666667
2018,0
2018,0
2018,0
2018,0.38
2018,0
2018,0
2018,0
2018,0
2018,0
2018,0
