"","RECYEAR","avg.LIVEGRASS"
"445",1999,27.7033333333333
"447",1999,36.4783333333333
"449",1999,25.1583333333333
"451",1999,23.34
"453",1999,31.4166666666667
"455",1999,47.2433333333333
"457",1999,34.0366666666667
"459",1999,32.2833333333333
"461",1999,30.3316666666667
"463",1999,36.14
"465",1999,25.11
"467",1999,26.1283333333333
"469",2000,5.99833333333333
"471",2000,28.7366666666667
"473",2000,5.01
"475",2000,19.2283333333333
"477",2000,3.76166666666667
"479",2000,18.7883333333333
"481",2000,13.4266666666667
"483",2000,11.295
"485",2000,9.78666666666667
"487",2000,8.94166666666667
"489",2000,19.65
"491",2000,8.69166666666667
"493",2000,15.7133333333333
"495",2000,19.3683333333333
"497",2000,24.635
"499",2000,17.555
"501",2000,9.42
"503",2000,6.45666666666667
"505",2000,8.46666666666667
"507",2000,5.84
"509",2000,12.055
"511",2000,10.2766666666667
"513",2000,9.04333333333333
"515",2000,15.7383333333333
"517",2000,13.2433333333333
"519",2000,12.91
"521",2000,14.2933333333333
"523",2000,13.445
"525",2000,16.1083333333333
"527",2000,10.645
"529",2001,20.0916666666667
"531",2001,40.0383333333333
"533",2001,22.745
"535",2001,28.5766666666667
"537",2001,16.6316666666667
"539",2001,29.365
"541",2001,18.7916666666667
"543",2001,23.575
"545",2001,27.85
"547",2001,19.0816666666667
"549",2001,24.625
"551",2001,29.785
"553",2001,31.6683333333333
"555",2001,23.3733333333333
"557",2001,53.0966666666667
"559",2001,31.9066666666667
"561",2001,24.175
"563",2001,20.3416666666667
"565",2001,23.0216666666667
"567",2001,33.26
"569",2001,29.5183333333333
"571",2001,24.1483333333333
"573",2001,20.7133333333333
"575",2001,16.0366666666667
"577",2001,24.9166666666667
"579",2001,26.155
"581",2001,32.9916666666667
"583",2001,22.485
"585",2001,17.7833333333333
"587",2001,18.36
"589",2002,14.835
"591",2002,18.4966666666667
"593",2002,17.0116666666667
"595",2002,17.0233333333333
"597",2002,13.9
"599",2002,25.57
"601",2002,24.5583333333333
"603",2002,27.265
"605",2002,15.33
"607",2002,22.3866666666667
"609",2002,18.2433333333333
"611",2002,15.3133333333333
"613",2002,14.5683333333333
"615",2002,28.8
"617",2002,35.6183333333333
