"year4","avg.chla"
1984,19.604
1984,12.5833333333333
1984,20.1566666666667
1984,6.04333333333333
1984,11.1433333333333
1984,11.795
1984,4.29
1984,4.875
1984,4.06833333333333
1984,6.79166666666667
1984,3.88
1984,5.33
1985,58.8
1985,16.255
1985,11.085
1985,15.0966666666667
1985,3.61333333333333
1985,6.42166666666667
1985,4.56666666666667
1985,5.19833333333333
1985,10.38
1985,4.73166666666667
1985,3.42
1985,4.40666666666667
1985,3.86833333333333
1985,8.85333333333333
1985,2.645
1985,5.69666666666667
1985,4.43333333333333
1986,4.535
1986,9.34166666666667
1986,7.8
1986,5.865
1986,6.97166666666667
1986,4.79
1986,6.10333333333333
1986,7.766
1986,9.75666666666667
1986,9.32833333333333
1986,6.92666666666667
1986,6.10333333333333
1986,4.71333333333333
1986,6.985
1986,9.25666666666667
1987,13.73754
1987,5.17978333333333
1987,9.9173
1987,3.42993333333333
1987,7.99861666666667
1987,2.24651666666667
1987,6.05958333333333
1987,5.74628333333333
1987,3.09721666666667
1987,3.39208333333333
1987,3.48811666666667
1987,5.52026666666667
1987,6.28755
1987,2.36971666666667
1987,0.982616666666667
1987,1.83525
1988,5.36666666666667
1988,8.18833333333333
1988,21.5316666666667
1988,9.07666666666667
1988,11.5583333333333
1988,4.74833333333333
1988,5.51833333333333
1988,3.785
1988,6.59333333333333
1988,8.95
1988,4.93666666666667
1988,5.88666666666667
1988,6.83166666666667
1988,7.38333333333333
1988,10.1116666666667
1988,14.3066666666667
1988,9.465
1989,32.42
1989,48.4916666666667
1989,17.3583333333333
1989,31.3516666666667
1989,27.275
1989,23.58
1989,45.788
1989,24.3683333333333
1989,21.4866666666667
1989,6.20833333333333
1989,28.6883333333333
1989,7.815
1989,19.3883333333333
1989,12.7633333333333
1989,7.95166666666667
1989,17.43
1990,26.7233333333333
1990,27.7966666666667
1990,4.59833333333333
1990,8.27833333333333
1990,45.8333333333333
1990,8.29666666666667
1990,18.7816666666667
1990,8.20333333333333
1990,10.4516666666667
1990,4.39166666666667
1990,5.7
1990,6.585
1990,6.38833333333333
1990,6.64833333333333
1990,6.78166666666667
1990,10.48
1990,17.6033333333333
1991,10.5053333333333
1991,16.0198333333333
1991,7.7465
1991,6.7915
1991,8.958
1991,13.5541666666667
1991,8.59416666666667
1991,5.22366666666667
1991,6.0955
1991,7.709
1991,9.57233333333333
1991,4.1144
1991,4.603
1991,6.73516666666667
1991,7.86383333333333
1991,10.6931666666667
1992,7.99966666666667
1992,12.3188333333333
1992,9.393
1992,5.2705
1992,10.0113333333333
1992,12.2508333333333
1992,5.293
1992,4.59
1992,4.12833333333333
1992,4.705
1992,4.3195
1992,4.75216666666667
1992,5.78933333333333
1992,10.2096666666667
1992,7.09583333333333
1992,6.3505
1992,10.4331666666667
1993,6.00466666666667
1993,13.8213333333333
1993,12.5426666666667
1993,9.7125
1993,14.496
1993,5.00383333333333
1993,4.69633333333333
1993,6.9585
1993,5.95983333333333
1993,2.91333333333333
1993,13.2741666666667
1993,7.81183333333333
1993,16.5306666666667
1993,12.9285
1993,7.89516666666667
1993,14.1805
1993,20.8443333333333
1994,14.0718333333333
1994,8.06516666666667
1994,9.0985
1994,7.86783333333333
1994,7.345
1994,4.94383333333333
1994,21.5606666666667
1994,5.626
1994,17.4463333333333
1994,6.75833333333333
1994,5.34266666666667
1994,5.48333333333333
1994,5.02383333333333
1994,4.5375
1994,3.08633333333333
1994,3.0345
1994,4.496
1995,12.0113333333333
1995,4.7116
1995,10.0411666666667
1995,3.8454
1995,3.337
1995,3.336
1995,3.9314
1995,3.5896
1995,4.125
1995,5.39983333333333
1995,4.0436
1995,8.48433333333333
1995,13.2646666666667
1995,9.129
1995,8.30366666666667
1995,6.177
1996,8.44916666666667
1996,7.03066666666667
1996,11.2695
1996,9.61183333333333
1996,16.1098333333333
1996,5.26183333333333
1996,8.63516666666667
1996,6.962
1996,4.08316666666667
1996,5.63866666666667
1996,6.98233333333333
1996,4.55316666666667
1996,4.5718
1996,4.78683333333333
1996,4.5206
1997,7.04766666666667
1997,6.58666666666667
1997,7.81833333333333
1997,9.26616666666667
1997,3.9382
1997,3.245
1997,4.43433333333333
1997,2.5834
1997,2.7352
1997,3.0838
1997,2.7534
1997,3.1892
1997,3.5175
1997,3.1948
1997,14.8806
1998,8.08066666666667
1998,3.7782
1998,10.7263333333333
1998,8.458
1998,17.7691666666667
1998,120.2585
1998,24.462
1998,17.832
1998,8.76033333333333
1998,6.2725
1998,14.2846666666667
1998,13.7963333333333
1998,14.9936666666667
1998,11.6456666666667
1998,11.1178333333333
1999,13.0561666666667
1999,3.84466666666667
1999,7.7685
1999,3.57683333333333
1999,4.67066666666667
