"","RECYEAR","avg.FORBS"
"448",1999,0.103333333333333
"450",1999,0.876666666666667
"452",1999,1.17666666666667
"454",1999,4.805
"456",1999,2.965
"458",1999,6.47666666666667
"460",1999,1.905
"462",1999,4.40333333333333
"464",1999,1.11333333333333
"466",1999,0.171666666666667
"468",1999,1.64833333333333
"470",2000,0.983333333333333
"472",2000,7.575
"474",2000,1.17166666666667
"476",2000,4.56666666666667
"478",2000,12.32
"480",2000,1.31833333333333
"482",2000,0
"484",2000,0.576666666666667
"486",2000,1.13166666666667
"488",2000,1.81333333333333
"490",2000,2.48666666666667
"492",2000,0.815
"494",2000,13.065
"496",2000,5.69666666666667
"498",2000,4.89666666666667
"500",2000,13.7683333333333
"502",2000,0
"504",2000,0.055
"506",2000,0.0266666666666667
"508",2000,0.59
"510",2000,2.70166666666667
"512",2000,1.46
"514",2000,1.77333333333333
"516",2000,2.085
"518",2000,4.58333333333333
"520",2000,1.38666666666667
"522",2000,1.93166666666667
"524",2000,2.30333333333333
"526",2000,0.868333333333333
"528",2000,0.0683333333333333
"530",2001,0.413333333333333
"532",2001,3.05333333333333
"534",2001,1.00833333333333
"536",2001,8.03833333333333
"538",2001,13.9
"540",2001,2.51833333333333
"542",2001,0
"544",2001,1.34333333333333
"546",2001,0
"548",2001,0.695
"550",2001,3.46333333333333
"552",2001,3.80333333333333
"554",2001,10.89
"556",2001,8.725
"558",2001,0.06
"560",2001,25.205
"562",2001,0
"564",2001,0
"566",2001,0.00166666666666667
"568",2001,0.361666666666667
"570",2001,4.285
"572",2001,7.42166666666667
"574",2001,4.64166666666667
"576",2001,1.80833333333333
"578",2001,6.245
"580",2001,0.586666666666667
"582",2001,5.42333333333333
"584",2001,1.13
"586",2001,1.36
"588",2001,0.338333333333333
"590",2002,0.381666666666667
"592",2002,1.91333333333333
"594",2002,1.28
"596",2002,2.69666666666667
"598",2002,5.35333333333333
"600",2002,0.776666666666667
"602",2002,0
"604",2002,0.0933333333333333
"606",2002,0
"608",2002,0.853333333333333
"610",2002,0.168333333333333
"612",2002,2.54333333333333
"614",2002,9.555
"616",2002,7.48166666666667
"618",2002,0.211666666666667
"620",2002,2.04333333333333
"622",2002,0.0366666666666667
"624",2002,0.11
"626",2002,0
"628",2002,0.213333333333333
"630",2002,1.16333333333333
"632",2002,1.00666666666667
"634",2002,0.458333333333333
"636",2002,1.06333333333333
"638",2002,2.89333333333333
"640",2002,0.775
"642",2002,0.0983333333333333
"644",2002,0.188333333333333
"646",2002,0.171666666666667
"648",2002,0.04
"650",2003,1.17833333333333
"652",2003,1.84833333333333
"654",2003,0.528333333333333
"656",2003,2.10166666666667
"658",2003,5.89666666666667
"660",2003,0.365
"662",2003,0.00333333333333333
"664",2003,0.0766666666666667
"666",2003,2.95333333333333
"668",2003,1.515
"670",2003,1.09
"672",2003,1.74666666666667
"674",2003,12.275
"676",2003,4.44333333333333
"678",2003,1.45
"680",2003,1.65666666666667
"682",2003,0.333333333333333
"684",2003,1.05666666666667
"686",2003,0.0666666666666667
"688",2003,0.103333333333333
"690",2003,2.16833333333333
"692",2003,1.73666666666667
"694",2003,1.83333333333333
"696",2003,0.578333333333333
"698",2003,1.465
"700",2003,0.968333333333333
"702",2003,0.655
"704",2003,1.44166666666667
"706",2003,1.22333333333333
"708",2003,0.0966666666666667
"710",2004,1.64833333333333
"712",2004,1.69
"714",2004,6.495
"716",2004,6.60666666666667
"718",2004,10.5083333333333
"720",2004,3.94666666666667
"722",2004,0.0916666666666667
"724",2004,0
"726",2004,0.0233333333333333
"728",2004,1.57333333333333
"730",2004,10.4066666666667
"732",2004,6.24
"734",2004,12.0783333333333
"736",2004,5.49666666666667
"738",2004,1.09333333333333
"740",2004,11.76
"742",2004,0.395
"744",2004,1.88666666666667
"746",2004,0.0483333333333333
"748",2004,2.41833333333333
"750",2004,9.36166666666667
"752",2004,2.77666666666667
"754",2004,1.53166666666667
"756",2004,0.276666666666667
"758",2004,1.54666666666667
"760",2004,7.115
"762",2004,5.15166666666667
"764",2004,1.47166666666667
"766",2004,0.0416666666666667
"768",2004,1.97166666666667
"770",2005,3.59666666666667
"772",2005,1.44666666666667
"774",2005,5.74666666666667
"776",2005,4.09833333333333
"778",2005,10.125
"780",2005,1.17333333333333
"782",2005,0
"784",2005,0.126666666666667
"786",2005,57.9033333333333
"788",2005,6.80166666666667
"790",2005,6.65333333333333
"792",2005,7.775
"794",2005,23.7083333333333
"796",2005,10.53
"798",2005,0.205
"800",2005,10.5616666666667
"802",2005,0.593333333333333
"804",2005,2.20333333333333
"806",2005,0.146666666666667
"808",2005,15.0083333333333
"810",2005,2.86833333333333
"812",2005,4.855
"814",2005,3.90666666666667
"816",2005,0.456666666666667
"818",2005,7.28
"820",2005,3.15333333333333
"822",2005,6.51166666666667
"824",2005,3.055
"826",2005,2.24166666666667
"828",2005,2.26833333333333
