"YEAR","biomass"
2000,455.681
2000,36.754
2000,0
2000,0
2000,0
2000,0
2000,0
2000,0
2001,339.627333333333
2001,0
2001,0
2001,0
2001,0
2001,0
2001,0
2001,0
2002,1511.818
2002,0
2002,0
2002,0
2002,0
2002,0
2002,12.972
2002,0
2003,1079.80466666667
2003,4.324
2003,251.372
2003,0
2003,0
2003,107.019
2003,56.528
2003,0
2004,522.703
2004,408.618
2004,843.575
2004,216.586666666667
2004,0
2004,111.615333333333
2004,581.515666666667
2004,2.162
2005,2851.572
2005,877.543333333333
2005,351.113
2005,98.8366666666667
2005,58.374
2005,163.863
2005,1056.33033333333
2005,1091.81833333333
2006,2368.286
2006,1152.346
2006,6.222
2006,11.5833333333333
2006,2.742
2006,0.773333333333333
2006,2.742
2006,661.782
2007,2931.55766666667
2007,644.434
2007,1.74
2007,10.124
2007,21.778
2007,4.86866666666667
2007,603.198
2007,515.730666666667
2008,2416.57966666667
2008,1754.463
2008,351.948666666667
2008,1576.27266666667
2008,2215.285
2008,0.193333333333333
2008,0.386666666666667
2008,1225.089
2009,129.025666666667
2009,169.796
2009,815.460666666667
2009,262.155
2009,490.466333333333
2009,0
2009,270.724
2009,405.541333333333
2010,605.518
2010,271.717666666667
2010,0
2010,0
2010,0
2010,0
2010,0
2010,0
2011,839.719333333333
2011,429.157
2011,0
2011,0
2011,0
2011,0
2011,0
2011,0.0616666666666667
2012,146.613333333333
2012,659.41
2012,0
2012,0
2012,0
2012,0
2012,0
2012,0
2013,60.65933
2013,113.69
2013,0
2013,0
2013,0.3083333
2013,0
2013,0
2013,0
2014,243.2867
2014,181.2053
2014,4.509
2014,17.296
2014,9.729
2014,0
2014,0
2014,0
2015,278.002
2015,25.944
2015,495.953
2015,0
2015,9.729
2015,0
2015,2.162
2015,0
2016,889.7247
2016,172.2113
2016,1492.861
2016,1254.145
2016,616.6757
2016,654.375
2016,116.0547
2016,765.4713
2017,1820.961
2017,990.196
2017,775.077
2017,247.6107
2017,919.931
2017,247.549
2017,939.389
2017,1158.832
2018,200.84
2018,0
2018,1.081
2018,0
2018,0
2018,149.178
2018,62.698
2018,5.405
